branch	pair	n	mean_rho	sd_rho	min_rho	median_rho	max_rho	group_rho
visual	A-B	21	0.63354062627639174	0.10926187622321468	0.3695336043769723	0.65275288272153886	0.76846191727607338	0.78421764957021978
visual	A-C	21	0.59687554105079277	0.11066469798986489	0.33339095899671722	0.62603620205903709	0.73396424596245757	0.75132908957079214
visual	B-C	21	0.87436319780427196	0.055111049325409646	0.70085422031609879	0.89063867700453847	0.92470778017539002	0.92237362650519772
movement	A-B	19	0.60571840106353769	0.084528603340793582	0.46861755744069888	0.61028346178113535	0.73333141565851234	0.66900385475475543
movement	A-C	19	0.56905750356324702	0.073488955705900555	0.41712265163106343	0.57837115335816414	0.67381188534287495	0.64984774201927908
movement	B-C	19	0.86959940716277995	0.060701779525625103	0.63986647587580492	0.88198513107925502	0.92949647074743447	0.86179389961469954
context	A-B	21	0.58712342507023474	0.083683658407417996	0.35532689498738684	0.59056767560483925	0.73662362904672873	0.67128306394878623
context	A-C	21	0.56478820758774384	0.07151113285631075	0.39920169018433072	0.56787556295584218	0.68404502602567208	0.63687039387653788
context	B-C	21	0.9193041192212803	0.020732662506324745	0.86646650542339609	0.91793537587967033	0.96669695121415333	0.92850549340169497
